asset_id,ticker,ticker_display,name,isin,symbol,yahoo_symbol,quote_currency,score,score_status,is_crypto
CRYPTO:ADA,ADA-EUR,ADA,CARDANO (KRYPTO),,ADA-EUR,ADA-EUR,EUR,0.0,AVOID_CRYPTO_BEAR,True
CRYPTO:BTC,BTC,BTC,BITCOIN (KRYPTO),BTC,BTC-EUR,BTC-EUR,EUR,0.0,AVOID_CRYPTO_BEAR,True
CRYPTO:ETH,ETH,ETH,ETHEREUM (KRYPTO),ETH,ETH-EUR,ETH-EUR,EUR,0.0,AVOID_CRYPTO_BEAR,True
FLNC,FLNC,FLNC,FLUENCE ENER.,US34379V1035,FLNC,FLNC,,14.49,OK,False
INCY,INCY,INCY,INCYTE CORP,,INCY,INCY,,29.94,OK,False
KEP,KEP,KEP,KOREA ELECTRIC POWER CORP,,KEP,KEP,,36.89,OK,False
ON,ON,ON,ON SEMICONDUCTOR CORP,,ON,ON,,20.48,OK,False
OXY,OXY,OXY,OCCIDENTAL PET.,US6745991058,OXY,OXY,,15.89,OK,False
PKX,PKX,PKX,POSCO HOLDINGS INC,,PKX,PKX,,24.06,OK,False
QS,QS,QS,QUANTUMSCAPE A,US74767V1098,QS,QS,,3.7,OK,False
