Ticker,Name,Yahoo,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,ConfidenceScore,ConfidenceLabel,ConfidenceBreakdown,ISIN,Symbol,YahooSymbol,Sektor,Akt. Kurs [€],Volatility,DownsideDev,MaxDrawdown,AvgVolume,DollarVolume,SMA200,Trend200,MarketRegimeStock,MarketTrend200Stock,MarketRegimeCrypto,MarketTrend200Crypto,MarketDate,RS3M,Sector,Industry,Country,Currency,Perf 1D %,Perf 1Y %,cycle,AssetType,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags,OpportunityScore,RiskScore,ScoreError,ScoreMarketRegime,ScoreAssetClass,ScoreRiskMult,ScoreOppW,ScoreRiskW,ScoreMarketTrend200,ticker,name,isin,symbol,yahoo_symbol,category,sector,industry,country,currency,price,price_eur,perf_pct,score,crv,confidence,elliott_signal,mc_chance,cycle_status,rs3m,trend200,sma200,volatility,downside_dev,max_drawdown,avg_volume,dollar_volume,regime_stock,trend200_stock,regime_crypto,trend200_crypto,market_date,trend_ok,liquidity_ok,is_crypto,score_status,crypto_base,quote_currency,asset_id,ticker_display,cluster_official,TrendOK,LiquidityOK
AEM,AGNICO EAGLE,AEM,206.25,USD,44.40047543788166,42.54,3.41,BUY,225.0,284.12,75.8,50.1,Zyklus-neutral,15.67,1.427,76.0,3510760960.0,104343330816.0,10567577600.0,3.36,41.9,32.62,74.52,2.12,72.91,"[83.8, 31.34, 28.65, 69.91, 22.95]",16.093971,66.4,MED,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.6408839779005525, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA0084741085,AEM,AEM,Edelmetalle ⛏️,215.18,0.47945119047896184,0.34032982351084345,0.45804427329188024,3597332.95,741949920.9375,185.24519798278808,0.11338918496102424,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,0.15122791625069887,Basic Materials,Gold,Canada,USD,-4.265689907753167,44.40047543788166,50.1,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",77.96,38.74,,bull,stock,,,,0.08753851513769262,AEM,AGNICO EAGLE,CA0084741085,AEM,AEM,Edelmetalle ⛏️,Basic Materials,Gold,Canada,USD,206.25,215.18,44.40047543788166,42.54,3.41,66.4,BUY,75.8,Zyklus-neutral,0.15122791625069887,0.11338918496102424,185.24519798278808,0.47945119047896184,0.34032982351084345,0.45804427329188024,3597332.95,741949920.9375,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,True,True,False,OK,,,AEM,AEM,Gold,True,True
WPM.TO,WHEATON PREC.,WPM.TO,213.27000427246094,CAD,60.47031109409862,42.5,3.74,BUY,214.41,269.3,76.2,38.5,Zyklus-neutral,13.05,0.099,48.0,376391360.0,87851417600.0,1830402048.0,0.43,54.5,54.72,109.22,8.089,73.33,"[100.0, 26.1, 95.05, 81.5, 16.33]",34.90334,69.2,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.419889502762431, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA9628791027,WPM.TO,WPM.TO,Edelmetalle ⛏️,202.53,0.49494190118973413,0.36018626643332474,0.35599557018995076,860538.05,183526953.6001152,177.03779296875,0.20465806027138211,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,0.1676661724734685,Basic Materials,Gold,Canada,CAD,-2.611991907037825,60.47031109409862,38.5,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",77.85,38.55,,bull,stock,,,,0.08753851513769262,WPM.TO,WHEATON PREC.,CA9628791027,WPM.TO,WPM.TO,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,213.27000427246094,202.53,60.47031109409862,42.5,3.74,69.2,BUY,76.2,Zyklus-neutral,0.1676661724734685,0.20465806027138211,177.03779296875,0.49494190118973413,0.36018626643332474,0.35599557018995076,860538.05,183526953.6001152,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,True,True,False,OK,,,WPM.TO,WPM.TO,Gold,True,True
JNJ,Johnson & Johnson,JNJ,268.0400085449219,USD,54.69915457498149,39.11,0.0,Seitwärts,0.0,0.0,79.0,76.2,Zyklus-neutral,35.56,57.766,218.0,0.0,601488490496.0,94193000448.0,0.0,9.1,28.46,37.56,1.0,75.59,"[18.2, 71.12, 0.0, 23.78, 14.01]",18.998785,73.1,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.8066298342541437, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US4781601046,JNJ,JNJ,Pharma 🧪,224.44,0.18861415040454604,0.11528689059918724,0.10959122461615511,6449801.7,1728804902.7810516,231.45902877807617,0.15804516229055676,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,0.18828102798508506,Healthcare,Drug Manufacturers - General,United States,USD,0.8541293694124485,54.69915457498149,76.2,stock,S13 Gesundheit,pillar,82.0,manual thematic assignment after stack redesign,"healthcare, pharma, medtech",67.57,22.89,,bull,stock,,,,0.08753851513769262,JNJ,Johnson & Johnson,US4781601046,JNJ,JNJ,Pharma 🧪,Healthcare,Drug Manufacturers - General,United States,USD,268.0400085449219,224.44,54.69915457498149,39.11,0.0,73.1,Seitwärts,79.0,Zyklus-neutral,0.18828102798508506,0.15804516229055676,231.45902877807617,0.18861415040454604,0.11528689059918724,0.10959122461615511,6449801.7,1728804902.7810516,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,True,True,False,OK,,,JNJ,JNJ,Drug Manufacturers - General,True,True
INCY,INCYTE CORP,INCY,124.37000274658203,USD,46.99208350007511,37.35,0.0,Seitwärts,0.0,0.0,66.1,14.5,Zyklus-Tief,30.39,0.887,0.0,531249760.0,18516510720.0,4813105152.0,2.87,20.0,24.7,44.7,3.195,106.03,"[40.0, 60.78, 55.65, 85.47, 21.36]",11.185932,69.0,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.39779005524861877, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US45337C1027,INCY,INCY,Pharma 🧪,103.95,0.3313756559878145,0.20189724132857226,0.18332275209380544,1319921.35,164158621.92477226,104.21195003509521,0.1934332166771493,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,0.28421358699649835,Healthcare,Biotechnology,United States,USD,-2.6381675070806576,46.99208350007511,14.5,stock,S13 Gesundheit,pillar,82.0,manual thematic assignment after stack redesign,"healthcare, pharma, medtech",66.9,29.21,,bull,stock,,,,0.08753851513769262,INCY,INCYTE CORP,US45337C1027,INCY,INCY,Pharma 🧪,Healthcare,Biotechnology,United States,USD,124.37000274658203,103.95,46.99208350007511,37.35,0.0,69.0,Seitwärts,66.1,Zyklus-Tief,0.28421358699649835,0.1934332166771493,104.21195003509521,0.3313756559878145,0.20189724132857226,0.18332275209380544,1319921.35,164158621.92477226,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,True,True,False,OK,,,INCY,INCY,Biotechnology,True,True
ASM.TO,AVINO SILVER,ASM.TO,10.380000114440918,CAD,73.57859667781652,36.27,7.87,BUY,16.11,25.14,81.5,36.8,Zyklus-neutral,14.34,2.563,0.0,15571250.0,2153994752.0,86065000.0,0.72,44.0,24.72,68.72,2.754,32.98,"[88.0, 28.68, 0.0, 83.21, 1.54]",14.07,42.8,LOW,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.11049723756906071, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA0539061030,ASM.TO,ASM.TO,Edelmetalle ⛏️,13.98,0.8488626976105095,0.551639798120651,0.5203145437830872,775791.45,8052715.3397822855,9.49964998960495,0.0926718485206608,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,0.02525350435635354,Basic Materials,Other Precious Metals & Mining,Canada,CAD,-2.990651406807787,73.57859667781652,36.8,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",74.77,58.71,,bull,stock,,,,0.08753851513769262,ASM.TO,AVINO SILVER,CA0539061030,ASM.TO,ASM.TO,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Canada,CAD,10.380000114440918,13.98,73.57859667781652,36.27,7.87,42.8,BUY,81.5,Zyklus-neutral,0.02525350435635354,0.0926718485206608,9.49964998960495,0.8488626976105095,0.551639798120651,0.5203145437830872,775791.45,8052715.3397822855,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,True,True,False,OK,,,ASM.TO,ASM.TO,Other Precious Metals & Mining,True,True
NVDA,NVIDIA CORP.,NVDA,217.5500030517578,USD,25.065895453599673,36.16,0.0,Seitwärts,0.0,0.0,60.0,73.6,Zyklus-neutral,107.36,9.102,2.0,53282873344.0,4531735756800.0,187141996544.0,1.18,62.5,53.01,115.51,4.468,69.59,"[100.0, 100.0, 0.0, 26.36, 30.04]",24.441496,69.4,MED,"{""coverage"": 1.0, ""confluence"": 0.6, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.9447513812154696, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US67066G1040,NVDA,NVDA,Gehirn,186.47,0.38103191661406194,0.2263046277874285,0.20214385493927145,127842524.4,27812141573.364426,195.66511558532716,0.11184869311508372,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,-0.04608689042034553,Technology,Semiconductors,United States,USD,-4.5749595891063315,25.065895453599673,73.6,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software",64.47,27.36,,bull,stock,,,,0.08753851513769262,NVDA,NVIDIA CORP.,US67066G1040,NVDA,NVDA,Gehirn,Technology,Semiconductors,United States,USD,217.5500030517578,186.47,25.065895453599673,36.16,0.0,69.4,Seitwärts,60.0,Zyklus-neutral,-0.04608689042034553,0.11184869311508372,195.66511558532716,0.38103191661406194,0.2263046277874285,0.20214385493927145,127842524.4,27812141573.364426,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,True,True,False,OK,,,NVDA,NVDA,Semiconductors,True,True
FRES.L,FRESNILLO PLC,FRES.L,3170.0,GBp,80.89146897764776,36.15,5.71,BUY,4472.0,5968.4,85.5,21.4,Zyklus-neutral,13.85,20.456,90.0,1243160320.0,27399075840.0,3944284928.0,4.54,30.1,11.56,41.66,5.092,15.79,"[60.2, 27.7, 0.0, 98.63, 15.53]",15.260902,52.1,MED,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.0, ""liquidity"": 0.8784530386740331, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",GB00B2QPKJ12,FRES.L,FRES.L,Edelmetalle ⛏️,4140.0,0.57360168107926,0.3567294728125369,0.450869549748357,1381269.1,4378623047.0,3220.195848388672,-0.015587824701342012,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,-0.05715119651173295,Basic Materials,Other Precious Metals & Mining,Mexico,GBp,1.407549584133072,80.89146897764776,21.4,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",68.93,41.23,,bull,stock,,,,0.08753851513769262,FRES.L,FRESNILLO PLC,GB00B2QPKJ12,FRES.L,FRES.L,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,Mexico,GBp,3170.0,4140.0,80.89146897764776,36.15,5.71,52.1,BUY,85.5,Zyklus-neutral,-0.05715119651173295,-0.015587824701342012,3220.195848388672,0.57360168107926,0.3567294728125369,0.450869549748357,1381269.1,4378623047.0,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,False,True,False,OK,,,FRES.L,FRES.L,Other Precious Metals & Mining,False,True
NEM.AX,NEWMONT CORP.,NEM.AX,182.8000030517578,AUD,66.51045514968452,34.94,0.0,Seitwärts,0.0,0.0,76.4,43.9,Zyklus-neutral,22.88,16.914,90.0,9337749504.0,182633725952.0,21503000576.0,5.11,20.0,33.42,53.42,2.039,11.57,"[40.0, 45.76, 0.0, 56.08, 21.98]",13.116383,67.6,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.2596685082872928, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",AU0000297962,NEM.AX,NEM.AX,Edelmetalle ⛏️,180.94,0.4762554546130862,0.3351092747557268,0.3160712030591474,371345.65,67881985.953257,153.7419742202759,0.18900517557975838,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,0.1888021880505757,Basic Materials,Gold,United States,AUD,0.29077674157762523,66.51045514968452,43.9,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",68.97,47.09,,bull,stock,,,,0.08753851513769262,NEM.AX,NEWMONT CORP.,AU0000297962,NEM.AX,NEM.AX,Edelmetalle ⛏️,Basic Materials,Gold,United States,AUD,182.8000030517578,180.94,66.51045514968452,34.94,0.0,67.6,Seitwärts,76.4,Zyklus-neutral,0.1888021880505757,0.18900517557975838,153.7419742202759,0.4762554546130862,0.3351092747557268,0.3160712030591474,371345.65,67881985.953257,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,True,True,False,OK,,,NEM.AX,NEM.AX,Gold,True,True
ABX.TO,BARRICK MINING,ABX.TO,63.540000915527344,CAD,79.58204764954363,34.71,0.0,Seitwärts,0.0,0.0,78.7,31.3,Zyklus-neutral,20.68,14.509,360.0,4054125056.0,114651471872.0,16956000256.0,3.54,64.5,29.45,93.95,2.922,63.7,"[100.0, 41.36, 0.0, 68.68, 29.71]",11.472485,70.1,MED,"{""coverage"": 1.0, ""confluence"": 0.8, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.5138121546961326, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CA06849F1080,ABX.TO,ABX.TO,Edelmetalle ⛏️,70.41,0.48318626992465435,0.3386820048514045,0.3106142137688319,4711566.4,299372933.3695679,58.36317100524902,0.08870028514750739,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,0.08655299194198074,Basic Materials,Gold,Canada,CAD,-3.125469639916756,79.58204764954363,31.3,stock,S4 Fundament,pillar,84.0,manual thematic assignment after stack redesign,"materials, mining, metals",67.68,44.23,,bull,stock,,,,0.08753851513769262,ABX.TO,BARRICK MINING,CA06849F1080,ABX.TO,ABX.TO,Edelmetalle ⛏️,Basic Materials,Gold,Canada,CAD,63.540000915527344,70.41,79.58204764954363,34.71,0.0,70.1,Seitwärts,78.7,Zyklus-neutral,0.08655299194198074,0.08870028514750739,58.36317100524902,0.48318626992465435,0.3386820048514045,0.3106142137688319,4711566.4,299372933.3695679,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,True,True,False,OK,,,ABX.TO,ABX.TO,Gold,True,True
GOOGL,ALPHABET INC.A,GOOGL,346.5899963378906,USD,63.251491690454586,34.49,0.0,Seitwärts,0.0,0.0,75.0,4.9,Zyklus-Tief,35.71,16.133,26.0,38088376320.0,3794015354880.0,402835996672.0,1.0,18.0,32.81,50.81,2.005,81.35,"[36.0, 71.42, 0.0, 95.07, 21.4]",23.884943,63.8,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.8839779005524862, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US02079K3059,GOOGL,GOOGL,Gehirn,335.67,0.32709424904096734,0.18580482975697543,0.21047203234359313,24394600.95,8454924653.924803,334.32495574951173,0.036685985827418444,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,-0.09543823779008798,Communication Services,Internet Content & Information,United States,USD,1.743725979109012,63.251491690454586,4.9,stock,S2 Gehirn,pillar,85.0,manual thematic assignment after stack redesign,"ai, semis, software",61.31,25.55,,bull,stock,,,,0.08753851513769262,GOOGL,ALPHABET INC.A,US02079K3059,GOOGL,GOOGL,Gehirn,Communication Services,Internet Content & Information,United States,USD,346.5899963378906,335.67,63.251491690454586,34.49,0.0,63.8,Seitwärts,75.0,Zyklus-Tief,-0.09543823779008798,0.036685985827418444,334.32495574951173,0.32709424904096734,0.18580482975697543,0.21047203234359313,24394600.95,8454924653.924803,bull,0.08753851513769262,bull,0.12192434369657046,2026-08-28,True,True,False,OK,,,GOOGL,GOOGL,Internet Content & Information,True,True
