Ticker,Name,Yahoo,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,ConfidenceScore,ConfidenceLabel,ConfidenceBreakdown,ISIN,Symbol,YahooSymbol,Sektor,Akt. Kurs [€],Volatility,DownsideDev,MaxDrawdown,AvgVolume,DollarVolume,SMA200,Trend200,MarketRegimeStock,MarketTrend200Stock,MarketRegimeCrypto,MarketTrend200Crypto,MarketDate,RS3M,Sector,Industry,Country,Currency,Perf 1D %,Perf 1Y %,cycle,AssetType,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags,OpportunityScore,RiskScore,ScoreError,ScoreMarketRegime,ScoreAssetClass,ScoreRiskMult,ScoreOppW,ScoreRiskW,ScoreMarketTrend200,ticker,name,isin,symbol,yahoo_symbol,category,sector,industry,country,currency,price,price_eur,perf_pct,score,crv,confidence,elliott_signal,mc_chance,cycle_status,rs3m,trend200,sma200,volatility,downside_dev,max_drawdown,avg_volume,dollar_volume,regime_stock,trend200_stock,regime_crypto,trend200_crypto,market_date,trend_ok,liquidity_ok,is_crypto,score_status,crypto_base,quote_currency,asset_id,ticker_display,cluster_official
1810.HK,XIAOMI CORP. CL.B,1810.HK,26.18000030517578,HKD,-54.7450285294523,24.19,0.0,Seitwärts,0.0,0.0,46.9,100.0,Zyklus-Hoch,19.86,10.389,0.0,32390629376.0,839264567296.0,449375305728.0,3.86,22.3,9.82,32.12,1.317,24.94,"[44.6, 39.72, 0.0, 0.0, 42.06]",18.211044,57.0,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.0, ""liquidity"": 0.8689320388349514, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",KYG9830T1067,1810.HK,1810.HK,Hardware 💻,35.56,0.41590733121584433,0.24130251560839122,0.639697227898995,122925977.65,3218202132.3910313,31.81739999771118,-0.1771797724811246,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,0.012718261662264307,Technology,Consumer Electronics,China,HKD,-1.2075460182045972,-54.7450285294523,100.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",51.16,43.17,,bull,stock,,,,0.06831280654895022,1810.HK,XIAOMI CORP. CL.B,KYG9830T1067,1810.HK,1810.HK,Hardware 💻,Technology,Consumer Electronics,China,HKD,26.18000030517578,35.56,-54.7450285294523,24.19,0.0,57.0,Seitwärts,46.9,Zyklus-Hoch,0.012718261662264307,-0.1771797724811246,31.81739999771118,0.41590733121584433,0.24130251560839122,0.639697227898995,122925977.65,3218202132.3910313,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,False,True,False,OK,,,1810.HK,1810.HK,Consumer Electronics
6503.T,MITSUBISHI EL.,6503.T,5160.0,JPY,39.5141320754854,28.42,0.09,BUY,5152.0,5863.86,79.6,100.0,Zyklus-Hoch,9.51,8.262,95.0,252386869248.0,11700824702976.0,5677370048512.0,2.16,4.9,6.59,11.49,1.988,49.55,"[9.8, 19.02, 0.0, 20.0, 0.0]",35.206493,54.6,MED,"{""coverage"": 1.0, ""confluence"": 0.0, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.9563106796116505, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",JP3902400005,6503.T,6503.T,Hardware 💻,4886.0,0.4274933040573083,0.2769535157784887,0.23368902439024386,5456530.0,28155694800.0,5479.41482421875,-0.058293601500465364,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.1206935015053423,Industrials,Electrical Equipment & Parts,Japan,JPY,1.17647058823529,39.5141320754854,100.0,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",51.79,24.95,,bull,stock,,,,0.06831280654895022,6503.T,MITSUBISHI EL.,JP3902400005,6503.T,6503.T,Hardware 💻,Industrials,Electrical Equipment & Parts,Japan,JPY,5160.0,4886.0,39.5141320754854,28.42,0.09,54.6,BUY,79.6,Zyklus-Hoch,-0.1206935015053423,-0.058293601500465364,5479.41482421875,0.4274933040573083,0.2769535157784887,0.23368902439024386,5456530.0,28155694800.0,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,False,True,False,OK,,,6503.T,6503.T,Electrical Equipment & Parts
6861.T,KEYENCE CORP.,6861.T,75625.0,JPY,35.76492807614504,18.55,0.0,Seitwärts,0.0,0.0,45.7,38.5,Zyklus-neutral,0.0,100.0,97.0,0.0,12400190291968.0,1118560059392.0,0.0,0.0,0.0,0.0,13.552,35.37,"[0.0, 0.0, 0.0, 61.55, 21.55]",30.325748,52.9,MED,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.0, ""liquidity"": 0.9611650485436893, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",JP3236200006,6861.T,6861.T,Hardware 💻,58890.0,0.4120110546498512,0.2221143735220451,0.179230282939153,487925.0,36899328125.0,67672.6419140625,0.11751215647877622,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,0.001764479769660321,Technology,Scientific & Technical Instruments,Japan,JPY,0.3172117286987408,35.76492807614504,38.5,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",39.26,33.18,,bull,stock,,,,0.06831280654895022,6861.T,KEYENCE CORP.,JP3236200006,6861.T,6861.T,Hardware 💻,Technology,Scientific & Technical Instruments,Japan,JPY,75625.0,58890.0,35.76492807614504,18.55,0.0,52.9,Seitwärts,45.7,Zyklus-neutral,0.001764479769660321,0.11751215647877622,67672.6419140625,0.4120110546498512,0.2221143735220451,0.179230282939153,487925.0,36899328125.0,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,True,True,False,OK,,,6861.T,6861.T,Scientific & Technical Instruments
9880.HK,UBTECH ROBOT.CORP.,9880.HK,77.4000015258789,HKD,-40.41570041369058,12.44,0.0,Seitwärts,0.0,0.0,62.0,14.4,Zyklus-Tief,-48.53,57.216,0.0,-506247008.0,56993132544.0,1439591936.0,-0.89,27.6,-70.91,-43.31,1.495,16.68,"[55.2, 0.0, 0.0, 85.56, 72.86]",-73.768105,42.1,LOW,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.5388349514563107, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CNE100006CQ4,9880.HK,9880.HK,Hardware 💻,141.1,0.6345749763451817,0.3521720974255191,0.5136334912332594,5214270.75,403584564.00634575,106.67224998474121,-0.27441296553742434,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.2868763651649294,Industrials,Specialty Industrial Machinery,China,HKD,0.912652679906989,-40.41570041369058,14.4,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",37.72,57.52,,bull,stock,,,,0.06831280654895022,9880.HK,UBTECH ROBOT.CORP.,CNE100006CQ4,9880.HK,9880.HK,Hardware 💻,Industrials,Specialty Industrial Machinery,China,HKD,77.4000015258789,141.1,-40.41570041369058,12.44,0.0,42.1,Seitwärts,62.0,Zyklus-Tief,-0.2868763651649294,-0.27441296553742434,106.67224998474121,0.6345749763451817,0.3521720974255191,0.5136334912332594,5214270.75,403584564.00634575,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,False,True,False,OK,,,9880.HK,9880.HK,Specialty Industrial Machinery
ABBN.SW,ABB LTD. NA,ABBN.SW,79.5199966430664,CHF,46.13685345696332,29.4,0.0,Seitwärts,0.0,0.0,64.9,82.3,Zyklus-Hoch,29.33,55.485,131.0,880625024.0,127925157888.0,33219999744.0,0.69,5.4,14.25,19.65,1.558,56.54,"[10.8, 58.66, 0.0, 17.74, 6.46]",27.666952,58.7,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.3689320388349515, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",CH0012221716,ABBN.SW,ABBN.SW,Hardware 💻,61.46,0.2819286882404975,0.17611617469098934,0.1481480970966259,1918970.65,152596539.64614296,72.98623538970948,0.08952045846000911,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.10570496688567699,Industrials,Electrical Equipment & Parts,Switzerland,CHF,1.6100108260189039,46.13685345696332,82.3,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",55.51,31.82,,bull,stock,,,,0.06831280654895022,ABBN.SW,ABB LTD. NA,CH0012221716,ABBN.SW,ABBN.SW,Hardware 💻,Industrials,Electrical Equipment & Parts,Switzerland,CHF,79.5199966430664,61.46,46.13685345696332,29.4,0.0,58.7,Seitwärts,64.9,Zyklus-Hoch,-0.10570496688567699,0.08952045846000911,72.98623538970948,0.2819286882404975,0.17611617469098934,0.1481480970966259,1918970.65,152596539.64614296,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,True,True,False,OK,,,ABBN.SW,ABBN.SW,Electrical Equipment & Parts
ABT,Abbott Laboratories,ABT,102.5999984741211,USD,-21.762337628186433,25.05,0.0,Seitwärts,0.0,0.0,40.7,80.8,Zyklus-Hoch,13.16,25.31,224.0,0.0,200792539136.0,44328001536.0,0.0,4.4,14.72,19.12,1.0,81.66,"[8.8, 26.32, 0.0, 19.21, 25.41]",17.985203,56.6,MED,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.6553398058252428, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US0028241000,ABT,ABT,Pharma 🧪,107.46,0.26804429581411654,0.18530110577385153,0.38610676665387234,7443697.45,763723347.0118191,104.3366463470459,-0.016644658743854457,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,0.14757813548863252,Healthcare,Medical Devices,United States,USD,0.23446450013528963,-21.762337628186433,80.8,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",49.24,33.11,,bull,stock,,,,0.06831280654895022,ABT,Abbott Laboratories,US0028241000,ABT,ABT,Pharma 🧪,Healthcare,Medical Devices,United States,USD,102.5999984741211,107.46,-21.762337628186433,25.05,0.0,56.6,Seitwärts,40.7,Zyklus-Hoch,0.14757813548863252,-0.016644658743854457,104.3366463470459,0.26804429581411654,0.18530110577385153,0.38610676665387234,7443697.45,763723347.0118191,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,False,True,False,OK,,,ABT,ABT,Medical Devices
AUTO.OL,AUTOSTORE HOLDINGS,AUTO.OL,15.430000305175781,NOK,65.46917555799665,22.7,0.0,Seitwärts,0.0,0.0,53.0,43.6,Zyklus-neutral,5.71,35.222,0.0,163850000.0,39791874048.0,523800000.0,0.41,-3.6,15.48,11.88,4.24,95.1,"[0.0, 11.42, 0.0, 56.35, 8.19]",28.716442,52.1,MED,"{""coverage"": 1.0, ""confluence"": 0.4, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.0, ""liquidity"": 0.3786407766990292, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",BMG0670A1099,AUTO.OL,AUTO.OL,Hardware 💻,11.83,0.5727952925632875,0.2788926484973797,0.3009188498396024,9902218.2,152791229.84791717,12.123675017356872,0.27271642328628953,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,0.25717507420627395,Technology,Computer Hardware,Norway,NOK,0.25990877817219094,65.46917555799665,43.6,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",50.09,46.91,,bull,stock,,,,0.06831280654895022,AUTO.OL,AUTOSTORE HOLDINGS,BMG0670A1099,AUTO.OL,AUTO.OL,Hardware 💻,Technology,Computer Hardware,Norway,NOK,15.430000305175781,11.83,65.46917555799665,22.7,0.0,52.1,Seitwärts,53.0,Zyklus-neutral,0.25717507420627395,0.27271642328628953,12.123675017356872,0.5727952925632875,0.2788926484973797,0.3009188498396024,9902218.2,152791229.84791717,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,True,True,False,OK,,,AUTO.OL,AUTO.OL,Computer Hardware
CGNX,COGNEX CORP.,CGNX,60.71500015258789,USD,38.63019432961903,21.87,1.15,BUY,42.33,48.59,56.8,94.1,Zyklus-Hoch,7.21,5.298,78.0,180942256.0,7082582016.0,971705024.0,2.55,18.0,11.33,29.33,3.964,100.6,"[36.0, 14.42, 0.0, 25.87, 10.85]",38.553066,46.4,LOW,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.0, ""liquidity"": 0.3058252427184466, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US1924221039,CGNX,CGNX,Hardware 💻,39.72,0.5911594656850828,0.33265471399196267,0.27864217475145925,1398483.85,84908947.1661417,54.38620010375976,0.11636775573130387,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.1013792722379615,Technology,Scientific & Technical Instruments,United States,USD,1.0232973279219237,38.63019432961903,94.1,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",46.62,40.15,,bull,stock,,,,0.06831280654895022,CGNX,COGNEX CORP.,US1924221039,CGNX,CGNX,Hardware 💻,Technology,Scientific & Technical Instruments,United States,USD,60.71500015258789,39.72,38.63019432961903,21.87,1.15,46.4,BUY,56.8,Zyklus-Hoch,-0.1013792722379615,0.11636775573130387,54.38620010375976,0.5911594656850828,0.33265471399196267,0.27864217475145925,1398483.85,84908947.1661417,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,True,True,False,OK,,,CGNX,CGNX,Scientific & Technical Instruments
FANUY,FANUC CORP.,FANUY,18.770000457763672,USD,31.258742709143284,20.68,0.0,Seitwärts,0.0,0.0,66.4,60.4,Zyklus-neutral,9.37,100.0,153.0,0.0,-659248840704.0,835426975744.0,-0.0,9.5,19.35,28.85,6.859,0.26,"[19.0, 18.74, 0.0, 39.61, 5.97]",33.14925,44.2,LOW,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 0.6666666666666666, ""regime_align"": 0.0, ""liquidity"": 0.08737864077669899, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US3073051027,FANUY,FANUY,Hardware 💻,20.6,0.4843673043337478,0.28001658822770004,0.3198045860085911,442513.7,8305982.351566697,20.68054998397827,-0.09238388377943274,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.23121794594851675,Industrials,Specialty Industrial Machinery,Japan,USD,0.3206914817051487,31.258742709143284,60.4,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",48.87,52.78,,bull,stock,,,,0.06831280654895022,FANUY,FANUC CORP.,US3073051027,FANUY,FANUY,Hardware 💻,Industrials,Specialty Industrial Machinery,Japan,USD,18.770000457763672,20.6,31.258742709143284,20.68,0.0,44.2,Seitwärts,66.4,Zyklus-neutral,-0.23121794594851675,-0.09238388377943274,20.68054998397827,0.4843673043337478,0.28001658822770004,0.3198045860085911,442513.7,8305982.351566697,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,False,True,False,OK,,,FANUY,FANUY,Specialty Industrial Machinery
GMED,Globus Medical,GMED,75.21499633789062,USD,33.78689915465984,24.38,0.0,Seitwärts,0.0,0.0,53.2,24.1,Zyklus-neutral,10.01,2.731,0.0,445762752.0,11603802112.0,2769804032.0,3.84,22.9,15.3,38.2,4.13,106.79,"[45.8, 20.02, 0.0, 75.85, 24.94]",20.902147,53.3,MED,"{""coverage"": 1.0, ""confluence"": 0.2, ""risk_clean"": 1.0, ""regime_align"": 0.0, ""liquidity"": 0.325242718446602, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",US3795772082,GMED,GMED,Pharma 🧪,,0.4888863302196385,0.21619907705050717,0.24023964273441223,1222040.4,91915764.2107544,85.40132495880127,-0.11927600216770251,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,-0.07187645830576339,Healthcare,Medical Devices,United States,USD,-0.0598004212893577,33.78689915465984,24.1,stock,S1 Hardware,pillar,85.0,manual thematic assignment after stack redesign,"robotics, automation, devices",49.61,37.47,,bull,stock,,,,0.06831280654895022,GMED,Globus Medical,US3795772082,GMED,GMED,Pharma 🧪,Healthcare,Medical Devices,United States,USD,75.21499633789062,,33.78689915465984,24.38,0.0,53.3,Seitwärts,53.2,Zyklus-neutral,-0.07187645830576339,-0.11927600216770251,85.40132495880127,0.4888863302196385,0.21619907705050717,0.24023964273441223,1222040.4,91915764.2107544,bull,0.06831280654895022,bull,0.08912358975922463,2026-09-17,False,True,False,OK,,,GMED,GMED,Medical Devices
